Group,Putative stress type,Experiment Accession,Experiment Title,Organism Name,Instrument,Submitter,Study Accession,Study Title,Sample Accession,Sample Title,"Total Size, Mb",Total RUNs,Total Spots,Total Bases,Library Name,Library Strategy,Library Source,Library Selection,Stress type,Stress intensity,Stress duration (in hrs),Reason for assignment,Control /Treatment,Run,Experiment,Sample,taxid,name
,Heat,SRX11547208,HY120,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582825,,2774.83,1,31298905,9452269310,HY120,RNA-Seq,TRANSCRIPTOMIC,unspecified,Heat,39℃/29℃,25,Biosample Reference,Treatment,SRR15241174,SRX11547208,SRS9582825,4577,Zea mays
,Heat,SRX11547207,HY114,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582824,,2152.33,1,24728500,7468007000,HY114,RNA-Seq,TRANSCRIPTOMIC,unspecified,Heat,39℃/29℃,25,Biosample Reference,Treatment,SRR15241175,SRX11547207,SRS9582824,4577,Zea mays
,Heat,SRX11547206,HY72,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582823,,2580.22,1,29269078,8839261556,HY72,RNA-Seq,TRANSCRIPTOMIC,unspecified,Heat,39℃/29℃,1,Biosample Reference,Treatment,SRR15241176,SRX11547206,SRS9582823,4577,Zea mays
,Heat,SRX11547205,HY66,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582822,,3227.59,1,37030280,11183144560,HY66,RNA-Seq,TRANSCRIPTOMIC,unspecified,Heat,39℃/29℃,1,Biosample Reference,Treatment,SRR15241177,SRX11547205,SRS9582822,4577,Zea mays
,Heat,SRX11547204,HY60,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582821,,2440.41,1,28003270,8456987540,HY60,RNA-Seq,TRANSCRIPTOMIC,unspecified,Heat,39℃/29℃,1,Biosample Reference,Treatment,SRR15241178,SRX11547204,SRS9582821,4577,Zea mays
,Heat,SRX11547203,HY73,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582820,,2964.61,1,34194597,10326768294,HY73,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,25,Biosample Reference,Control,SRR15241179,SRX11547203,SRS9582820,4577,Zea mays
,Heat,SRX11547202,HY90,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582819,,2658.55,1,30727547,9279719194,HY90,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,25,Biosample Reference,Control,SRR15241180,SRX11547202,SRS9582819,4577,Zea mays
,Heat,SRX11547201,HY84,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582818,,2615.71,1,30107468,9092455336,HY84,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,25,Biosample Reference,Control,SRR15241181,SRX11547201,SRS9582818,4577,Zea mays
,Heat,SRX11547200,HY78,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582817,,2565.32,1,29432373,8888576646,HY78,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,25,Biosample Reference,Control,SRR15241182,SRX11547200,SRS9582817,4577,Zea mays
,Heat,SRX11547199,HY36,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582816,,2562.48,1,29569667,8930039434,HY36,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,1,Biosample Reference,Control,SRR15241183,SRX11547199,SRS9582816,4577,Zea mays
,Heat,SRX11547198,HY30,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582815,,2743.43,1,31603109,9544138918,HY30,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,1,Biosample Reference,Control,SRR15241184,SRX11547198,SRS9582815,4577,Zea mays
,Heat,SRX11547197,HY24,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582814,,2817.09,1,32223179,9731400058,HY24,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,1,Biosample Reference,Control,SRR15241185,SRX11547197,SRS9582814,4577,Zea mays
,Heat,SRX11547196,HY6,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582813,,2369.41,1,27214820,8218875640,HY6,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,0,Biosample Reference,Control,SRR15241186,SRX11547196,SRS9582813,4577,Zea mays
,Heat,SRX11547195,HY18,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582812,,2689.26,1,30945373,9345502646,HY18,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,0,Biosample Reference,Control,SRR15241187,SRX11547195,SRS9582812,4577,Zea mays
,Heat,SRX11547194,HY12,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582811,,3303.26,1,37914637,11450220374,HY12,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,0,Biosample Reference,Control,SRR15241188,SRX11547194,SRS9582811,4577,Zea mays
,Heat,SRX11547193,HY96,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582809,,2816.09,1,31876173,9626604246,HY96,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,25,Biosample Reference,Treatment,SRR15241189,SRX11547193,SRS9582809,4577,Zea mays
,Heat,SRX11547192,HY31,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582810,,3038.02,1,34915623,10544518146,HY31,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,1,Biosample Reference,Control,SRR15241190,SRX11547192,SRS9582810,4577,Zea mays
,Heat,SRX11547191,HY108,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582808,,2747.03,1,31574706,9535561212,HY108,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,25,Biosample Reference,Treatment,SRR15241191,SRX11547191,SRS9582808,4577,Zea mays
,Heat,SRX11547190,HY102,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582807,,2635.57,1,30315714,9155345628,HY102,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,25,Biosample Reference,Treatment,SRR15241192,SRX11547190,SRS9582807,4577,Zea mays
,Heat,SRX11547189,HY54,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582806,,2920.61,1,33642776,10160118352,HY54,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,1,Biosample Reference,Treatment,SRR15241193,SRX11547189,SRS9582806,4577,Zea mays
,Heat,SRX11547188,HY48,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582805,,2688.7,1,30990885,9359247270,HY48,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,1,Biosample Reference,Treatment,SRR15241194,SRX11547188,SRS9582805,4577,Zea mays
,Heat,SRX11547187,HY42,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582803,,2741.58,1,31734032,9583677664,HY42,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,1,Biosample Reference,Treatment,SRR15241195,SRX11547187,SRS9582803,4577,Zea mays
,Heat,SRX11547186,HY125,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582804,,2791.73,1,31521148,9519386696,HY125,RNA-Seq,TRANSCRIPTOMIC,unspecified,Heat,39℃/29℃,25,Biosample Reference,Treatment,SRR15241196,SRX11547186,SRS9582804,4577,Zea mays
,Heat,SRX11547185,HY119,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582802,,2327.86,1,26336716,7953688232,HY119,RNA-Seq,TRANSCRIPTOMIC,unspecified,Heat,39℃/29℃,25,Biosample Reference,Treatment,SRR15241197,SRX11547185,SRS9582802,4577,Zea mays
,Heat,SRX11547184,HY113,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582801,,2951.99,1,33896681,10236797662,HY113,RNA-Seq,TRANSCRIPTOMIC,unspecified,Heat,39℃/29℃,25,Biosample Reference,Treatment,SRR15241198,SRX11547184,SRS9582801,4577,Zea mays
,Heat,SRX11547183,HY71,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582800,,2695.19,1,31190820,9419627640,HY71,RNA-Seq,TRANSCRIPTOMIC,unspecified,Heat,39℃/29℃,1,Biosample Reference,Treatment,SRR15241199,SRX11547183,SRS9582800,4577,Zea mays
,Heat,SRX11547182,HY3,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582799,,2727.23,1,31254147,9438752394,HY3,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature ,30℃/20℃,0,Biosample Reference,Control ,SRR15241200,SRX11547182,SRS9582799,4577,Zea mays
,Heat,SRX11547181,HY13,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582798,,3205.6,1,36747972,11097887544,HY13,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature ,30℃/20℃,0,Biosample Reference,Control ,SRR15241201,SRX11547181,SRS9582798,4577,Zea mays
,Heat,SRX11547180,HY15,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582797,,2597.21,1,29896958,9028881316,HY15,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature ,30℃/20℃,0,Biosample Reference,Control ,SRR15241202,SRX11547180,SRS9582797,4577,Zea mays
,Heat,SRX11547179,HY99,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582796,,3093.98,1,35575517,10743806134,HY99,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,25,Biosample Reference,Treatment,SRR15241203,SRX11547179,SRS9582796,4577,Zea mays
,Heat,SRX11547178,HY93,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582795,,2705.32,1,31208851,9425073002,HY93,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,25,Biosample Reference,Treatment,SRR15241204,SRX11547178,SRS9582795,4577,Zea mays
,Heat,SRX11547177,HY105,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582794,,2716.13,1,31260141,9440562582,HY105,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,25,Biosample Reference,Treatment,SRR15241205,SRX11547177,SRS9582794,4577,Zea mays
,Heat,SRX11547176,HY51,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582793,,2858.83,1,33037571,9977346442,HY51,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,1,Biosample Reference,Treatment,SRR15241206,SRX11547176,SRS9582793,4577,Zea mays
,Heat,SRX11547175,HY45,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582792,,2431.36,1,27988563,8452546026,HY45,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,1,Biosample Reference,Treatment,SRR15241207,SRX11547175,SRS9582792,4577,Zea mays
,Heat,SRX11547174,HY39,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582791,,2873.05,1,33037046,9977187892,HY39,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,1,Biosample Reference,Treatment,SRR15241208,SRX11547174,SRS9582791,4577,Zea mays
,Heat,SRX11547173,HY122,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582790,,2746.9,1,31218093,9427864086,HY122,RNA-Seq,TRANSCRIPTOMIC,unspecified,Heat,39℃/29℃,25,Biosample Reference,Treatment,SRR15241209,SRX11547173,SRS9582790,4577,Zea mays
,Heat,SRX11547172,HY116,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582789,,2845.4,1,32677624,9868642448,HY116,RNA-Seq,TRANSCRIPTOMIC,unspecified,Heat,39℃/29℃,25,Biosample Reference,Treatment,SRR15241210,SRX11547172,SRS9582789,4577,Zea mays
,Heat,SRX11547171,HY110,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582788,,2503.94,1,28799042,8697310684,HY110,RNA-Seq,TRANSCRIPTOMIC,unspecified,Heat,39℃/29℃,25,Biosample Reference,Treatment,SRR15241211,SRX11547171,SRS9582788,4577,Zea mays
,Heat,SRX11547170,HY1,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582787,,2587.42,1,29622860,8946103720,HY1,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature ,30℃/20℃,0,Biosample Reference,Control ,SRR15241212,SRX11547170,SRS9582787,4577,Zea mays
,Heat,SRX11547169,HY68,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582786,,2803.15,1,32362887,9773591874,HY68,RNA-Seq,TRANSCRIPTOMIC,unspecified,Heat,39℃/29℃,1,Biosample Reference,Treatment,SRR15241213,SRX11547169,SRS9582786,4577,Zea mays
,Heat,SRX11547168,HY62,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582785,,3197.99,1,36681742,11077886084,HY62,RNA-Seq,TRANSCRIPTOMIC,unspecified,Heat,39℃/29℃,1,Biosample Reference,Treatment,SRR15241214,SRX11547168,SRS9582785,4577,Zea mays
,Heat,SRX11547167,HY56,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582784,,2674,1,30620998,9247541396,HY56,RNA-Seq,TRANSCRIPTOMIC,unspecified,Heat,39℃/29℃,1,Biosample Reference,Treatment,SRR15241215,SRX11547167,SRS9582784,4577,Zea mays
,Heat,SRX11547166,HY86,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582783,,2811.73,1,32332065,9764283630,HY86,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature ,30℃/20℃,25,Biosample Reference,Control ,SRR15241216,SRX11547166,SRS9582783,4577,Zea mays
,Heat,SRX11547165,HY80,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582782,,3142.42,1,36023362,10879055324,HY80,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature ,30℃/20℃,25,Biosample Reference,Control ,SRR15241217,SRX11547165,SRS9582782,4577,Zea mays
,Heat,SRX11547164,HY74,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582781,,2722.96,1,31102448,9392939296,HY74,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature ,30℃/20℃,25,Biosample Reference,Control ,SRR15241218,SRX11547164,SRS9582781,4577,Zea mays
,Heat,SRX11547163,HY32,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582780,,2685.88,1,30929749,9340784198,HY32,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature ,30℃/20℃,1,Biosample Reference,Control ,SRR15241219,SRX11547163,SRS9582780,4577,Zea mays
,Heat,SRX11547162,HY26,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582779,,2803.38,1,32137882,9705640364,HY26,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature ,30℃/20℃,1,Biosample Reference,Control ,SRR15241220,SRX11547162,SRS9582779,4577,Zea mays
,Heat,SRX11547161,HY20,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582778,,2478.32,1,28114205,8490489910,HY20,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature ,30℃/20℃,1,Biosample Reference,Control ,SRR15241221,SRX11547161,SRS9582778,4577,Zea mays
,Heat,SRX11547160,HY8,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582777,,2611.47,1,29776958,8992641316,HY8,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature ,30℃/20℃,0,Biosample Reference,Control ,SRR15241222,SRX11547160,SRS9582777,4577,Zea mays
,Heat,SRX11547159,HY97,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582776,,2815.4,1,32347780,9769029560,HY97,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,25,Biosample Reference,Treatment,SRR15241223,SRX11547159,SRS9582776,4577,Zea mays
,Heat,SRX11547158,HY2,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582775,,3349.97,1,38365200,11586290400,HY2,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature ,30℃/20℃,0,Biosample Reference,Control ,SRR15241224,SRX11547158,SRS9582775,4577,Zea mays
,Heat,SRX11547157,HY14,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582774,,2885.45,1,32961920,9954499840,HY14,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature ,30℃/20℃,0,Biosample Reference,Control ,SRR15241225,SRX11547157,SRS9582774,4577,Zea mays
,Heat,SRX11547156,HY98,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582773,,3180.18,1,35976851,10865009002,HY98,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,25,Biosample Reference,Treatment,SRR15241226,SRX11547156,SRS9582773,4577,Zea mays
,Heat,SRX11547155,HY92,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582772,,3065.58,1,35012288,10573710976,HY92,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,25,Biosample Reference,Treatment,SRR15241227,SRX11547155,SRS9582772,4577,Zea mays
,Heat,SRX11547154,HY104,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582771,,3098.53,1,35721199,10787802098,HY104,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,25,Biosample Reference,Treatment,SRR15241228,SRX11547154,SRS9582771,4577,Zea mays
,Heat,SRX11547153,HY50,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582770,,2859.08,1,33038762,9977706124,HY50,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,1,Biosample Reference,Treatment,SRR15241229,SRX11547153,SRS9582770,4577,Zea mays
,Heat,SRX11547152,HY44,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582769,,3321.9,1,38262918,11555401236,HY44,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,1,Biosample Reference,Treatment,SRR15241230,SRX11547152,SRS9582769,4577,Zea mays
,Heat,SRX11547151,HY38,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582768,,2543.4,1,29069616,8779024032,HY38,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,1,Biosample Reference,Treatment,SRR15241231,SRX11547151,SRS9582768,4577,Zea mays
,Heat,SRX11547150,NM73,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582767,,2532.73,1,28937111,8739007522,NM73,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature ,30℃/20℃,25,Biosample Reference,Control ,SRR15241232,SRX11547150,SRS9582767,4577,Zea mays
,Heat,SRX11547149,NM48,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582766,,2197.74,1,24650707,7444513514,NM48,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature ,30℃/20℃,1,Biosample Reference,Control ,SRR15241233,SRX11547149,SRS9582766,4577,Zea mays
,Heat,SRX11547148,NM98,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582765,,3338.49,1,38208218,11538881836,NM98,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,25,Biosample Reference,Treatment,SRR15241234,SRX11547148,SRS9582765,4577,Zea mays
,Heat,SRX11547147,NM23,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582764,,2797.62,1,31988601,9660557502,NM23,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,1,Biosample Reference,Treatment,SRR15241235,SRX11547147,SRS9582764,4577,Zea mays
,Heat,SRX11547146,NM72,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582763,,2474.01,1,28276070,8539373140,NM72,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature ,30℃/20℃,25,Biosample Reference,Control ,SRR15241236,SRX11547146,SRS9582763,4577,Zea mays
,Heat,SRX11547145,NM47,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582762,,3082.3,1,35011920,10573599840,NM47,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature ,30℃/20℃,1,Biosample Reference,Control ,SRR15241237,SRX11547145,SRS9582762,4577,Zea mays
,Heat,SRX11547144,NM97,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582761,,2788.94,1,31760711,9591734722,NM97,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,25,Biosample Reference,Treatment,SRR15241238,SRX11547144,SRS9582761,4577,Zea mays
,Heat,SRX11547143,HY40,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582760,,2786,1,31441140,9495224280,HY40,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,1,Biosample Reference,Treatment,SRR15241239,SRX11547143,SRS9582760,4577,Zea mays
,Heat,SRX11547142,NM22,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582759,,3256.38,1,37307427,11266842954,NM22,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,1,Biosample Reference,Treatment,SRR15241240,SRX11547142,SRS9582759,4577,Zea mays
,Heat,SRX11547141,NM71,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582758,,2799.28,1,31765547,9593195194,NM71,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature ,30℃/20℃,25,Biosample Reference,Control ,SRR15241241,SRX11547141,SRS9582758,4577,Zea mays
,Heat,SRX11547140,NM46,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582756,,2560.29,1,28911026,8731129852,NM46,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature ,30℃/20℃,1,Biosample Reference,Control ,SRR15241242,SRX11547140,SRS9582756,4577,Zea mays
,Heat,SRX11547139,NM96,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582757,,3356.22,1,38450578,11612074556,NM96,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,25,Biosample Reference,Treatment,SRR15241243,SRX11547139,SRS9582757,4577,Zea mays
,Heat,SRX11547138,NM21,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582754,,2375.83,1,26996319,8152888338,NM21,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,1,Biosample Reference,Treatment,SRR15241244,SRX11547138,SRS9582754,4577,Zea mays
